$0;592199450609250;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199450609250;null;null
$1;592199458627705;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199458627705;null;null
$0;592199460454237;boolean java.sql.Statement.execute(String);java.sql.Statement.execute(String);null;null;0;0;592199460454237;null;drop index productCat 
$0;592199462977383;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199462977383;null;null
$1;592199463466169;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199463466169;null;null
$0;592199463687469;boolean java.sql.Statement.execute(String);java.sql.Statement.execute(String);null;null;0;0;592199463687469;null;drop index productName 
$0;592199464161502;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199464161502;null;null
$1;592199464305186;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199464305186;null;null
$0;592199464609234;boolean java.sql.Statement.execute(String);java.sql.Statement.execute(String);null;null;0;0;592199464609234;null;drop index itemProd 
$0;592199464975823;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199464975823;null;null
$1;592199465200652;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199465200652;null;null
$0;592199465506303;boolean java.sql.Statement.execute(String);java.sql.Statement.execute(String);null;null;0;0;592199465506303;null;drop table lineitem 
$0;592199465996051;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199465996051;null;null
$1;592199466150320;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199466150320;null;null
$0;592199466351094;boolean java.sql.Statement.execute(String);java.sql.Statement.execute(String);null;null;0;0;592199466351094;null;drop table orderstatus 
$0;592199467088762;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199467088762;null;null
$1;592199467234372;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199467234372;null;null
$0;592199467447654;boolean java.sql.Statement.execute(String);java.sql.Statement.execute(String);null;null;0;0;592199467447654;null;drop table orders 
$0;592199467981341;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199467981341;null;null
$1;592199468127592;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199468127592;null;null
$0;592199468332535;boolean java.sql.Statement.execute(String);java.sql.Statement.execute(String);null;null;0;0;592199468332535;null;drop table bannerdata 
$0;592199468746592;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199468746592;null;null
$1;592199468959874;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199468959874;null;null
$0;592199469157762;boolean java.sql.Statement.execute(String);java.sql.Statement.execute(String);null;null;0;0;592199469157762;null;drop table profile 
$0;592199469657773;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199469657773;null;null
$1;592199469790874;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199469790874;null;null
$0;592199470004156;boolean java.sql.Statement.execute(String);java.sql.Statement.execute(String);null;null;0;0;592199470004156;null;drop table signon 
$0;592199470469849;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199470469849;null;null
$1;592199470671586;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199470671586;null;null
$0;592199470844136;boolean java.sql.Statement.execute(String);java.sql.Statement.execute(String);null;null;0;0;592199470844136;null;drop table inventory 
$0;592199471999068;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199471999068;null;null
$1;592199472217482;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199472217482;null;null
$0;592199472559055;boolean java.sql.Statement.execute(String);java.sql.Statement.execute(String);null;null;0;0;592199472559055;null;drop table item 
$0;592199473061631;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199473061631;null;null
$1;592199473202430;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199473202430;null;null
$0;592199473602374;boolean java.sql.Statement.execute(String);java.sql.Statement.execute(String);null;null;0;0;592199473602374;null;drop table product 
$0;592199474576738;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199474576738;null;null
$1;592199475182268;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199475182268;null;null
$0;592199475510691;boolean java.sql.Statement.execute(String);java.sql.Statement.execute(String);null;null;0;0;592199475510691;null;drop table account 
$0;592199476148293;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199476148293;null;null
$1;592199476387875;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199476387875;null;null
$0;592199476614627;boolean java.sql.Statement.execute(String);java.sql.Statement.execute(String);null;null;0;0;592199476614627;null;drop table category 
$0;592199477156012;Statement java.sql.Connection.createStatement();java.sql.Connection.createStatement();null;null;0;0;592199477156012;null;null
